"customer_id","name","city","signup_date","tier"
"1","user_0001","Chengdu","2023-02-02","gold"
"2","user_0002","Shenzhen","2023-10-10","bronze"
"3","user_0003","Beijing","2023-08-27","silver"
"4","user_0004","","2023-06-10","silver"
"5","user_0005","Hangzhou","2023-06-08","gold"
"6","user_0006","Shenzhen","2023-11-10","silver"
"7","user_0007","Shanghai","2023-02-01","bronze"
"8","user_0008","Beijing","2023-09-12","silver"
"9","user_0009","Beijing","2023-03-15","bronze"
"10","user_0010","Chengdu","2023-02-04","bronze"
"11","user_0011","Shanghai","2023-07-12","silver"
"12","user_0012","Beijing","2023-12-23","silver"
"13","user_0013","Shanghai","2023-09-26","bronze"
"14","user_0014","Shenzhen","2023-10-05","bronze"
"15","user_0015","Beijing","2023-09-19","bronze"
"16","user_0016","Chengdu","2023-10-14","bronze"
"17","user_0017","Hangzhou","2023-07-07","bronze"
"18","user_0018","Shenzhen","2023-02-16","silver"
"19","user_0019","Shanghai","2023-11-03","bronze"
"20","user_0020","Shenzhen","2023-06-14","platinum"
"21","user_0021","Shenzhen","2023-07-02","platinum"
"22","user_0022","Shenzhen","2023-05-16","silver"
"23","user_0023","Beijing","2023-03-08","bronze"
"24","user_0024","Shanghai","2023-12-05","silver"
"25","user_0025","Beijing","2023-10-13","gold"
"26","user_0026","Shanghai","2023-08-24","silver"
"27","user_0027","Shanghai","2023-05-27","gold"
"28","user_0028","Beijing","2023-10-28","silver"
"29","user_0029","Beijing","2023-07-19","silver"
"30","user_0030","Shenzhen","2023-06-11","bronze"
"31","user_0031","Beijing","2023-06-14","gold"
"32","user_0032","Chengdu","2023-03-24","bronze"
"33","user_0033","Shenzhen","2023-02-03","silver"
"34","user_0034","Shanghai","2023-07-22","gold"
"35","user_0035","Shenzhen","2023-11-21","bronze"
"36","user_0036","Beijing","2023-01-24","silver"
"37","user_0037","","2023-11-10","bronze"
"38","user_0038","Shanghai","2023-10-30","gold"
"39","user_0039","Hangzhou","2023-04-12","bronze"
"40","user_0040","Beijing","2023-08-19","platinum"
"41","user_0041","Shanghai","2023-03-02","bronze"
"42","user_0042","Shanghai","2023-10-04","platinum"
"43","user_0043","Chengdu","2023-09-13","gold"
"44","user_0044","Shenzhen","2023-05-10","silver"
"45","user_0045","Shanghai","2023-01-25","gold"
"46","user_0046","Beijing","2023-12-21","gold"
"47","user_0047","Shanghai","2023-06-12","platinum"
"48","user_0048","Shenzhen","2023-11-22","bronze"
"49","user_0049","Shanghai","2023-09-05","silver"
"50","user_0050","Beijing","2023-10-12","bronze"
"51","user_0051","Hangzhou","2023-10-05","silver"
"52","user_0052","Chengdu","2023-03-13","bronze"
"53","user_0053","Beijing","2023-05-13","silver"
"54","user_0054","Shenzhen","2023-06-20","silver"
"55","user_0055","Beijing","2023-07-01","silver"
"56","user_0056","Shenzhen","2023-01-16","silver"
"57","user_0057","Shanghai","2023-07-19","gold"
"58","user_0058","Shenzhen","2023-02-26","gold"
"59","user_0059","Hangzhou","2023-09-29","silver"
"60","user_0060","Hangzhou","2023-09-07","silver"
"61","user_0061","Beijing","2023-12-03","platinum"
"62","user_0062","Chengdu","2023-09-29","bronze"
"63","user_0063","Beijing","2023-05-14","bronze"
"64","user_0064","Beijing","2023-12-20","bronze"
"65","user_0065","Shenzhen","2023-05-30","silver"
"66","user_0066","Shanghai","2023-04-29","silver"
"67","user_0067","Hangzhou","2023-11-27","gold"
"68","user_0068","Hangzhou","2023-05-16","silver"
"69","user_0069","Shanghai","2023-01-28","bronze"
"70","user_0070","","2023-06-21","gold"
"71","user_0071","Shanghai","2023-10-18","gold"
"72","user_0072","Shanghai","2023-03-11","bronze"
"73","user_0073","Beijing","2023-06-18","bronze"
"74","user_0074","Chengdu","2023-02-17","bronze"
"75","user_0075","Beijing","2023-09-08","bronze"
"76","user_0076","Beijing","2023-06-23","bronze"
"77","user_0077","Shanghai","2023-05-01","platinum"
"78","user_0078","","2023-03-24","silver"
"79","user_0079","Chengdu","2023-07-26","bronze"
"80","user_0080","Hangzhou","2023-09-02","gold"
"81","user_0081","Chengdu","2023-12-10","silver"
"82","user_0082","Chengdu","2023-06-09","platinum"
"83","user_0083","Shanghai","2023-02-28","gold"
"84","user_0084","Shanghai","2023-10-31","silver"
"85","user_0085","Hangzhou","2023-08-18","bronze"
"86","user_0086","Shenzhen","2023-09-13","platinum"
"87","user_0087","Shanghai","2023-02-05","gold"
"88","user_0088","Beijing","2023-04-25","platinum"
"89","user_0089","Hangzhou","2023-10-08","bronze"
"90","user_0090","Beijing","2023-10-31","gold"
"91","user_0091","Chengdu","2023-06-08","silver"
"92","user_0092","Beijing","2023-10-21","bronze"
"93","user_0093","Beijing","2023-11-04","silver"
"94","user_0094","Hangzhou","2023-05-22","silver"
"95","user_0095","Beijing","2023-11-24","bronze"
"96","user_0096","Beijing","2023-04-16","silver"
"97","user_0097","Shenzhen","2023-03-29","gold"
"98","user_0098","Chengdu","2023-09-07","bronze"
"99","user_0099","Beijing","2023-08-21","silver"
"100","user_0100","Shanghai","2023-02-21","silver"
"101","user_0101","Hangzhou","2023-10-31","bronze"
"102","user_0102","","2023-03-14","platinum"
"103","user_0103","Shanghai","2023-10-21","gold"
"104","user_0104","Beijing","2023-01-03","bronze"
"105","user_0105","Beijing","2023-10-18","platinum"
"106","user_0106","Beijing","2023-10-15","gold"
"107","user_0107","Beijing","2023-10-12","bronze"
"108","user_0108","Shenzhen","2023-08-31","gold"
"109","user_0109","Beijing","2023-06-22","bronze"
"110","user_0110","Shanghai","2023-09-15","platinum"
"111","user_0111","Shenzhen","2023-04-12","silver"
"112","user_0112","Shenzhen","2023-10-12","silver"
"113","user_0113","Beijing","2023-07-22","bronze"
"114","user_0114","Hangzhou","2023-06-17","gold"
"115","user_0115","Shenzhen","2023-07-04","bronze"
"116","user_0116","Hangzhou","2023-07-27","bronze"
"117","user_0117","Beijing","2023-01-14","bronze"
"118","user_0118","Beijing","2023-02-21","gold"
"119","user_0119","Chengdu","2023-03-31","bronze"
"120","user_0120","Shanghai","2023-02-11","platinum"
"121","user_0121","Shanghai","2023-06-10","silver"
"122","user_0122","Shanghai","2023-09-01","bronze"
"123","user_0123","Shenzhen","2023-08-27","bronze"
"124","user_0124","","2023-06-21","bronze"
"125","user_0125","Shanghai","2023-11-09","silver"
"126","user_0126","Chengdu","2023-07-26","gold"
"127","user_0127","Beijing","2023-01-29","bronze"
"128","user_0128","Shenzhen","2023-10-07","gold"
"129","user_0129","Shenzhen","2023-07-29","bronze"
"130","user_0130","Beijing","2023-08-20","gold"
"131","user_0131","Beijing","2023-07-26","platinum"
"132","user_0132","Shanghai","2023-07-22","gold"
"133","user_0133","","2023-02-03","silver"
"134","user_0134","Shenzhen","2023-07-24","gold"
"135","user_0135","Chengdu","2023-10-18","bronze"
"136","user_0136","Hangzhou","2023-04-21","bronze"
"137","user_0137","Shanghai","2023-08-09","bronze"
"138","user_0138","Hangzhou","2023-01-12","silver"
"139","user_0139","Beijing","2023-05-07","gold"
"140","user_0140","Beijing","2023-06-09","silver"
"141","user_0141","Hangzhou","2023-12-25","gold"
"142","user_0142","Hangzhou","2023-03-20","bronze"
"143","user_0143","Beijing","2023-04-11","gold"
"144","user_0144","Shenzhen","2023-05-30","bronze"
"145","user_0145","Shenzhen","2023-12-29","bronze"
"146","user_0146","Chengdu","2023-11-08","gold"
"147","user_0147","Shenzhen","2023-01-13","platinum"
"148","user_0148","Shanghai","2023-03-27","silver"
"149","user_0149","Shanghai","2023-10-27","bronze"
"150","user_0150","Shanghai","2023-01-22","silver"
"151","user_0151","Shenzhen","2023-11-09","bronze"
"152","user_0152","Chengdu","2023-04-13","gold"
"153","user_0153","Shanghai","2023-12-01","gold"
"154","user_0154","Beijing","2023-04-18","bronze"
"155","user_0155","Beijing","2023-06-08","bronze"
"156","user_0156","Hangzhou","2023-08-30","bronze"
"157","user_0157","Hangzhou","2023-02-16","platinum"
"158","user_0158","Beijing","2023-07-23","silver"
"159","user_0159","Beijing","2023-07-04","gold"
"160","user_0160","Shenzhen","2023-10-14","silver"
"161","user_0161","Beijing","2023-12-30","silver"
"162","user_0162","Hangzhou","2023-08-31","bronze"
"163","user_0163","Shanghai","2023-05-30","platinum"
"164","user_0164","Beijing","2023-05-29","bronze"
"165","user_0165","Chengdu","2023-06-02","silver"
"166","user_0166","Beijing","2023-10-25","silver"
"167","user_0167","Shanghai","2023-04-28","silver"
"168","user_0168","Beijing","2023-03-02","platinum"
"169","user_0169","Beijing","2023-05-03","bronze"
"170","user_0170","Beijing","2023-01-09","silver"
"171","user_0171","Beijing","2023-02-08","silver"
"172","user_0172","Beijing","2023-02-02","silver"
"173","user_0173","Beijing","2023-10-09","bronze"
"174","user_0174","Shenzhen","2023-09-21","bronze"
"175","user_0175","Shenzhen","2023-09-12","bronze"
"176","user_0176","Shanghai","2023-06-18","bronze"
"177","user_0177","Shanghai","2023-09-19","silver"
"178","user_0178","Shanghai","2023-02-28","silver"
"179","user_0179","Chengdu","2023-11-25","silver"
"180","user_0180","Chengdu","2023-07-02","silver"
"181","user_0181","Beijing","2023-12-09","silver"
"182","user_0182","Beijing","2023-02-25","bronze"
"183","user_0183","Beijing","2023-07-01","silver"
"184","user_0184","Beijing","2023-09-12","bronze"
"185","user_0185","Shenzhen","2023-06-30","bronze"
"186","user_0186","Shanghai","2023-06-12","silver"
"187","user_0187","Beijing","2023-03-02","silver"
"188","user_0188","Shanghai","2023-05-20","bronze"
"189","user_0189","Shenzhen","2023-03-29","silver"
"190","user_0190","Beijing","2023-04-21","silver"
"191","user_0191","Hangzhou","2023-09-07","gold"
"192","user_0192","Beijing","2023-08-19","silver"
"193","user_0193","Chengdu","2023-08-10","silver"
"194","user_0194","Beijing","2023-05-13","bronze"
"195","user_0195","Chengdu","2023-12-17","gold"
"196","user_0196","Chengdu","2023-02-01","silver"
"197","user_0197","","2023-05-06","silver"
"198","user_0198","Hangzhou","2023-02-13","silver"
"199","user_0199","Hangzhou","2023-05-04","bronze"
"200","user_0200","Shenzhen","2023-12-18","silver"
